#Build: Fabric Compiler 2024.2-SP1.2, Build 187561, May 22 18:16 2025
#Install: C:\studyware\pango\PDS_2024.2-SP1.2-ads\bin
#Application name: pds_shell.exe
#OS: Windows 10 10.0.18363
#Hostname: z02665mj
Generated by Fabric Compiler (version 2024.2-SP1.2 build 187561) at Tue Feb 10 12:26:35 2026
Parameters for debugging are loaded as follows:
[GP] Step 1 take 0.177 secs: WL=5535.74 OF=0.115709
[GP] Timing analysis take 0.024000 secs.
[GP] MarginTNSS=0, TNSS=0, WSS=11397
[GP] Step 2 take 0.165 secs: WL=5698.43 OF=0.072613
[GP] Timing analysis take 0.025000 secs.
[GP] MarginTNSS=0, TNSS=0, WSS=11397
[GP] Final best WL=5698.426009 OF=0.072613, totally takes 0.456000 secs, run timing analysis 4 times totally takes 0.148000 secs.
[GP] Total node move: 880.20, average node move: 0.43
[GP] Placer use memory: 3.07812881 MB
[GP] GP graph memory: 17.65434933 MB
Stage: post global placement | Performance: WL = 5808 ; TNS = 0 ; WNS = 11397 | Time (s): real = 0h:0m:13s ; cpu = 0h:0m:10s ; process = 0h:0m:20s | Memory (MB): curr = 348.660156 ; peak = 373.968750 | Checksum: 7DB51955B65B9431

Stage 4 Legalization start.
The average distance in LP is 0.261817, max distance is 2, variance is 0.254042.
Stage: after legalization | Performance: WL = 6650 | Time (s): real = 0h:0m:13s ; cpu = 0h:0m:10s ; process = 0h:0m:21s | Memory (MB): curr = 351.585938 ; peak = 373.968750 | Checksum: F5EDC38A21065FBE

Stage 5 Timing-driven DP start.

Stage 5.1 Replication placement start.
Design Cells Duplication "Enable".
Recovery Analysis in RP "Disable".
Worst slack before Replication Place is 11659, TNS before Replication Place is 0. 
Stage: after replication placement | Performance: WL = 6650 | Time (s): real = 0h:0m:13s ; cpu = 0h:0m:10s ; process = 0h:0m:21s | Memory (MB): curr = 365.550781 ; peak = 373.968750 | Checksum: F5EDC38A21065FBE
Recovery Analysis in DP "Disable".
RefinePlacement Mode "Bump".

Stage 5.2 DP placement start.
Legalized cost 11659.000000.
RefinePlacement Cluster "Enable".
RefinePlacement Iteration "20".
The detailed placement ends at 0th iteration.
Stage: after DP placement | Time (s): real = 0h:0m:14s ; cpu = 0h:0m:11s ; process = 0h:0m:22s | Memory (MB): curr = 369.472656 ; peak = 385.332031

Stage: after detailed placement | Performance: WL = 6650 ; TNS = 0 ; WNS = 11659 | Time (s): real = 0h:0m:14s ; cpu = 0h:0m:11s ; process = 0h:0m:22s | Memory (MB): curr = 369.484375 ; peak = 385.332031 | Checksum: F5EDC38A21065FBE
Worst slack is 11661, TNS after placement is 0.

Congestion analysis started.
I: Start printing congestion info.
I: Finish printing congestion info.
Congestion analysis takes 0.16 sec.



Device Utilization Summary :
+----------------------------------------------------------------------------+
| Device Type                      | Used     | Available     | Util(%)     
+----------------------------------------------------------------------------+
| CLMA                             | 250      | 592           | 43          
| + FF                             | 603      | 3552          | 17          
| + LUT                            | 644      | 2368          | 28          
|   + LUT as Logic                 | 644      |               |             
|   + LUT as Const                 | 0        |               |             
|   + LUT as Bypass                | 0        |               |             
| CLMS                             | 380      | 888           | 43          
| + FF                             | 928      | 5328          | 18          
| + LUT                            | 965      | 3552          | 28          
|   + LUT as Logic                 | 965      |               |             
|   + LUT as Memory                | 0        |               |             
|     + LUT as Distributed RAM     | 0        |               |             
|   + LUT as Const                 | 0        |               |             
|   + LUT as Bypass                | 0        |               |             
| IO                               | 219      | 336           | 66          
| + IOBD                           | 11       | 21            | 53          
| + IOBR                           | 42       | 42            | 100         
| + IOBS                           | 166      | 273           | 61          
| BKCL                             | 0        | 6             | 0           
| CCS                              | 1        | 1             | 100         
| CLKDIV                           | 0        | 4             | 0           
| CLKDLY                           | 0        | 8             | 0           
| DLL                              | 0        | 2             | 0           
| DRM                              | 0        | 26            | 0           
| HARD0N1                          | 0        | 936           | 0           
| IOCKBRG                          | 0        | 2             | 0           
| IOCKGATE                         | 0        | 4             | 0           
| + IOCKGATE as Bypass             | 0        |               |             
| IOLDLYS                          | 55       | 252           | 22          
| IOLDLY                           | 35       | 84            | 42          
| IOL                              | 219      | 336           | 66          
| ISERDES                          | 0        | 21            | 0           
| LDO                              | 0        | 2             | 0           
| OSC                              | 0        | 1             | 0           
| OSERDES                          | 0        | 21            | 0           
| PLLINMUXD                        | 1        | 2             | 50          
| + PLLINMUXD as Bypass            | 0        |               |             
| PLL                              | 1        | 2             | 50          
| USCMDC                           | 1        | 8             | 13          
| + USCMDC as Bypass               | 0        |               |             
| USCMD                            | 0        | 2             | 0           
| + USCMD as Bypass                | 0        |               |             
| USSMBUF                          | 0        | 8             | 0           
| + USSMBUF as Bypass              | 0        |               |             
+----------------------------------------------------------------------------+

Action place: Export DB successfully.
Placement done.
Total placement takes 9.16 sec.
Finished placement.
Design 'Tieta_Feiteng_2001_top' has been placed successfully.
Action place: Real time elapsed is 0h:0m:15s
Action place: CPU time elapsed is 0h:0m:11s
Action place: Process CPU time elapsed is 0h:0m:23s
Action place: Peak memory pool usage is 571 MB

Current time: Tue Feb 10 12:26:48 2026
